pair_id,scenario_id,prompt_profile,request_count,max_new_tokens,repeat_index,cold_run_order,cache_run_order,prompt_tokens_mean,estimated_peak_sequence_tokens_cold,estimated_peak_sequence_tokens_cache,cold_output_tokens_per_second,cache_output_tokens_per_second,cache_to_cold_output_tokens_per_second_delta,cache_to_cold_output_tokens_per_second_ratio,cold_p95_first_event_ms,cache_p95_first_event_ms,cache_to_cold_p95_first_event_ms_delta,cache_to_cold_p95_first_event_ms_ratio,cold_p95_latency_ms,cache_p95_latency_ms,cache_to_cold_p95_latency_ms_delta,cache_to_cold_p95_latency_ms_ratio,cold_p95_stream_tpot_ms,cache_p95_stream_tpot_ms,cache_to_cold_p95_stream_tpot_ms_delta,cache_to_cold_p95_stream_tpot_ms_ratio,cold_batch_wall_ms,cache_batch_wall_ms,cache_to_cold_batch_wall_ms_delta,cache_to_cold_batch_wall_ms_ratio,cold_prefix_cache_hit_rate_pct,cache_prefix_cache_hit_rate_pct,cache_to_cold_prefix_cache_hit_rate_pct_delta,cold_prefix_cache_counter_requests,cache_prefix_cache_counter_requests,cold_prefix_cache_counter_queries,cache_prefix_cache_counter_queries,cold_prefix_cache_counter_hits,cache_prefix_cache_counter_hits,cold_prefix_cache_counter_hit_rate_pct,cache_prefix_cache_counter_hit_rate_pct,cache_to_cold_prefix_cache_counter_hit_rate_pct_delta,cold_gpu_kv_cache_usage_pct,cache_gpu_kv_cache_usage_pct,cache_to_cold_gpu_kv_cache_usage_pct_delta,cold_engine_max_model_len,cold_engine_max_num_batched_tokens,cold_engine_max_num_seqs,cold_engine_gpu_memory_utilization,cold_engine_gpu_kv_cache_size_tokens,cold_engine_available_kv_cache_memory_gib,cold_engine_max_concurrency_for_request,cold_engine_max_concurrency_request_tokens,cold_engine_derived_gpu_kv_cache_size_tokens,cache_engine_max_model_len,cache_engine_max_num_batched_tokens,cache_engine_max_num_seqs,cache_engine_gpu_memory_utilization,cache_engine_gpu_kv_cache_size_tokens,cache_engine_available_kv_cache_memory_gib,cache_engine_max_concurrency_for_request,cache_engine_max_concurrency_request_tokens,cache_engine_derived_gpu_kv_cache_size_tokens,modal_gpu,isolation_call_index,isolation_phase_order,isolation_warmup_runs,isolation_warmup_prompt_profile,source_chunk_index,source_dir,source_json,source_runs_csv,source_repeat_index,source_isolation_call_index
shared_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep00,shared_prefix_mega_long_no_repeat_variant_out8_n32,shared_prefix_mega_long_no_repeat_variant,32,8,0,0,0,3609.46875,115759,115759,34.33417208465608,393.94844286238464,359.61427077772856,11.473946186645925,7053.8550139999925,296.899561999993,-6756.955451999999,0.04209039757844863,7414.162646999984,596.2951909999958,-6817.867455999988,0.08042650524281075,952.596999714286,42.785012000000016,-909.8119877142859,0.04491407385582003,7456.128529000011,649.8312269999929,-6806.297302000019,0.08715397333516,0.0,51.8,51.8,0,32,0,115503,0,111248,0.0,96.3161130013939,96.3161130013939,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,0,cold_first,1,neutral_mega_long,0,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics-runs.csv,0,0
matched_unique_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep00,matched_unique_prefix_mega_long_no_repeat_variant_out8_n32,matched_unique_prefix_mega_long_no_repeat_variant,32,8,0,0,0,3583.46875,114927,114927,34.16149239188463,33.78623331691016,-0.37525907497446553,0.9890151439910859,7091.536345000009,7151.426266999977,59.889921999968465,1.008445267581854,7459.941150999981,7540.315065000015,80.37391400003435,1.0107740681023014,956.2323151428578,963.8681012857139,7.635786142856091,1.0079852835152463,7493.817806999999,7577.050616999997,83.2328099999977,1.0111068633030083,0.0,4.7,4.7,0,32,0,114671,0,512,0.0,0.446494754558694,0.446494754558694,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,1,cold_first,1,neutral_mega_long,0,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics-runs.csv,0,1
shared_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep01,shared_prefix_mega_long_no_repeat_variant_out8_n32,shared_prefix_mega_long_no_repeat_variant,32,8,1,0,0,3593.46875,115247,115247,33.38915609823296,353.06710525250156,319.6779491542686,10.574304550068781,7262.269223000032,319.2143819999842,-6943.054841000048,0.04395518428165862,7630.176737999989,648.6883199999625,-6981.488418000026,0.08501615916304393,980.478143857137,51.83973128571649,-928.6384125714204,0.052871888690738555,7667.159937999997,725.0746280000158,-6942.085309999981,0.09456886694203405,0.0,51.7,51.7,0,32,0,114991,0,110752,0.0,96.31362454452957,96.31362454452957,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,2,cold_first,1,neutral_mega_long,0,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics-runs.csv,1,2
matched_unique_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep01,matched_unique_prefix_mega_long_no_repeat_variant_out8_n32,matched_unique_prefix_mega_long_no_repeat_variant,32,8,1,0,0,3591.46875,115183,115183,33.2614574761942,33.32387022199937,0.06241274580516887,1.001876428471297,7277.649283000017,7275.165639999955,-2.4836430000623295,0.9996587300509433,7660.46512400004,7650.565479000023,-9.8996450000177,0.9987076966163578,980.091221428568,979.5342682857203,-0.5569531428477603,0.9994317333624967,7696.595982999952,7682.180920000008,-14.415062999943984,0.9981270859180106,0.0,4.7,4.7,0,32,0,114927,0,512,0.0,0.4455001870752739,0.4455001870752739,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,3,cold_first,1,neutral_mega_long,0,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-smoke-r2/prefix-cache-isolated-metrics-runs.csv,1,3
shared_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep02,shared_prefix_mega_long_no_repeat_variant_out8_n32,shared_prefix_mega_long_no_repeat_variant,32,8,2,0,0,3593.46875,115247,115247,33.64226624736127,306.7376170904648,273.0953508431036,9.117626465325408,7104.322464999996,451.6922209999734,-6652.630244000022,0.06357991535790651,7560.024935999991,653.861653000007,-6906.1632829999835,0.08648935136263786,967.9407930000009,48.10524371428723,-919.8355492857137,0.04969853947904351,7609.475476999989,834.5895180000014,-6774.885958999987,0.10967766707739435,0.0,51.7,51.7,0,32,0,114991,0,110752,0.0,96.31362454452957,96.31362454452957,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,4,cold_first,1,neutral_mega_long,1,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics-runs.csv,0,0
matched_unique_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep02,matched_unique_prefix_mega_long_no_repeat_variant_out8_n32,matched_unique_prefix_mega_long_no_repeat_variant,32,8,2,0,0,3591.46875,115183,115183,33.295952206238994,33.12065372167654,-0.1752984845624539,0.9947351412725296,7182.099490999974,7208.492064999973,26.392573999999513,1.0036747714276406,7636.882992999972,7675.343386999998,38.4603940000261,1.005036137653972,975.3411847142876,983.1738527142794,7.832667999991827,1.008030695435348,7688.622280999994,7729.316038000035,40.69375700004184,1.0052927241725222,0.0,4.7,4.7,0,32,0,114927,0,512,0.0,0.4455001870752739,0.4455001870752739,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,5,cold_first,1,neutral_mega_long,1,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics-runs.csv,0,1
shared_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep03,shared_prefix_mega_long_no_repeat_variant_out8_n32,shared_prefix_mega_long_no_repeat_variant,32,8,3,0,0,3584.46875,114959,114959,32.99778154806129,185.20184169543964,152.20406014737836,5.612554329620403,7249.411045000044,442.92051900004026,-6806.490526000004,0.06109744864108992,7703.067427000007,1026.8337250000172,-6676.23370199999,0.13330192611333821,986.8570648571416,124.67017771428702,-862.1868871428546,0.12633053169896938,7758.09730200001,1382.2756710000021,-6375.821631000008,0.1781719946517887,0.0,51.5,51.5,0,32,0,114703,0,110256,0.0,96.12303078385047,96.12303078385047,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,6,cold_first,1,neutral_mega_long,1,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics-runs.csv,1,2
matched_unique_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep03,matched_unique_prefix_mega_long_no_repeat_variant_out8_n32,matched_unique_prefix_mega_long_no_repeat_variant,32,8,3,0,0,3582.46875,114895,114895,32.9108151437678,32.93111922081819,0.02030407705039039,1.0006169423930005,7269.324885000004,7276.714910999999,7.390025999995487,1.0010166041712132,7726.339273000008,7721.471528999984,-4.867744000023777,0.9993699805524934,991.1360674285642,986.4970405714238,-4.639026857140379,0.9953194853768403,7778.597973999978,7773.801986000024,-4.795987999954377,0.9993834379902413,0.0,4.7,4.7,0,32,0,114639,0,512,0.0,0.44661938781740945,0.44661938781740945,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,7,cold_first,1,neutral_mega_long,1,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics-runs.csv,1,3
shared_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep04,shared_prefix_mega_long_no_repeat_variant_out8_n32,shared_prefix_mega_long_no_repeat_variant,32,8,4,0,0,3609.46875,115759,115759,32.32910078977798,320.89204177018416,288.5629409804062,9.925795457683927,7392.59369399997,427.2392730000547,-6965.354420999915,0.057792879019824085,7866.9186549999495,632.9298389999849,-7233.988815999965,0.08045460576838633,1008.1524800000027,48.63459385714058,-959.5178861428622,0.04824130756206685,7918.562339999994,797.7760950000174,-7120.786244999977,0.10074759290207445,0.0,51.8,51.8,0,32,0,115503,0,111248,0.0,96.3161130013939,96.3161130013939,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,8,cold_first,1,neutral_mega_long,1,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics-runs.csv,2,4
matched_unique_prefix_mega_long_no_repeat_variant_out8_n32_merged_rep04,matched_unique_prefix_mega_long_no_repeat_variant_out8_n32,matched_unique_prefix_mega_long_no_repeat_variant,32,8,4,0,0,3583.46875,114927,114927,32.64723124516991,32.69517073192659,0.047939486756675365,1.0014684089562347,7324.062196,7316.269827000042,-7.792368999957944,0.9989360591443074,7790.283854999984,7774.5138860000225,-15.769968999961748,0.9979756874982366,1032.6951249999995,996.7943401428556,-35.90078485714389,0.9652358338990475,7841.400028000066,7829.902529000037,-11.497499000029165,0.9985337441070505,0.0,4.7,4.7,0,32,0,114671,0,512,0.0,0.446494754558694,0.446494754558694,0.0,0.0,0.0,3790,60640,32,0.5,,,,3790,,3790,60640,32,0.5,,,,3790,,L4,9,cold_first,1,neutral_mega_long,1,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics.json,results/modal-vllm-prefix-cache-mega-long-qwen15b-l4-n32-batched-tokens60640-chunk-r3-seed2901/prefix-cache-isolated-metrics-runs.csv,2,5
